tipo de material,codigo,nombre,pkg
COMPONENTES,A0150-301B0,J5030BK181,1440
COMPONENTES,A1819-251B0,ET935 19X25,3750
COMPONENTES,A2019-301B0,ETN1000E 19X30(B),6000
COMPONENTES,BATTT-00044,CBR67-012,500
COMPONENTES,E32001G90B0,CDS12-00031,100
COMPONENTES,E32001G90B1,91981-1G900,400
COMPONENTES,G06-0531,JTPRE-GROMT,250
COMPONENTES,HAP02HVAA0OR,2103245-1,315
COMPONENTES,HAP02HVAD0OR,2103245-4,315
COMPONENTES,HAP02HVAE0OR,2103245-5,315
COMPONENTES,HHI101200100,707-173-501,200
COMPONENTES,HHR05GT8E2B0,GT8E-5S-HU,100
COMPONENTES,HJS08CPT02B0,08CPT-B-2A,300
COMPONENTES,HJS12CPT02B0,12CPT-B-2A,500
COMPONENTES,HKA03SB130BR,SB013-5,100
COMPONENTES,HKA03SB130GR,SB013-3,100
COMPONENTES,HKA03SB430B0,SB043-2,960
COMPONENTES,HKA03SB430DG,SB043-4,960
COMPONENTES,HKA03SB630DG,SB063-4,100
COMPONENTES,HKT02RCL2WBR,633404-7,100
COMPONENTES,HKT02RCLW5GR,633412-41,100
COMPONENTES,HKT03RCL0WBR,665065-7,250
COMPONENTES,HKT03RCL1WB0,632565-5,100
COMPONENTES,HKT03RCL1WBR,632565-7,200
COMPONENTES,HKT03RCL1WLG,632565-41,100
COMPONENTES,HKU02FL0A0B0,GL321-02020,100
COMPONENTES,HKU02RBLB0B0,GL436-02020,2000
COMPONENTES,HKU02RBLD0BR,GL456-02050,1000
COMPONENTES,HKU02RBLE0BR,GL466-02050,1000
COMPONENTES,HKU02RBLE0GR,GL466-02120,1000
COMPONENTES,HKU02RBLH0BR,GL631-02050,100
COMPONENTES,HKU03RBL02B0,GL611-03020,800
COMPONENTES,HMK0212006B0,34900-2120,750
COMPONENTES,HUJ02PCBS2W0,KH1600037-10,1
COMPONENTES,HUJ03PCBS2W0,KH1600038-10,1
COMPONENTES,HYR1006032B0,220336-BK,100
COMPONENTES,IA3TBY351775,35300157,400
COMPONENTES,IA3TLN452135,35402172,300
COMPONENTES,IA3TNG451650,35300141,400
COMPONENTES,IA3TNL452135,35300133,1
COMPONENTES,IA3TWA451650,35402168,400
COMPONENTES,IA3TWG452135,35300134,1
COMPONENTES,IA3TYO452135,35402173,300
COMPONENTES,IB3TGR451490,35402169,400
COMPONENTES,IB3TLN452155,35404409,300
COMPONENTES,IB3TLR452155,35300126,300
COMPONENTES,IB3TYB451490,35300142,400
COMPONENTES,IC3TAY451320,35300124,400
COMPONENTES,IC3TBY452165,35300132,300
COMPONENTES,IC3TBY454075,35300138,1
COMPONENTES,IC3TBY454565,35300139,200
COMPONENTES,IC3TGR451320,35404406,400
COMPONENTES,IC3TGW454200,35402174,200
COMPONENTES,IC3TLR452075,35300131,300
COMPONENTES,IC3TOG451510,35300140,400
COMPONENTES,IC3TOG454200,35300137,1
COMPONENTES,IC3TOL454075,35402175,200
COMPONENTES,IC3TOL454565,IC3TOL454565_PRET,200
COMPONENTES,IC3TWA451320,BDM PE,400
COMPONENTES,IC3TWA451510,IC3TWA451510_PRET,400
COMPONENTES,IC3TWA452165,35404414,300
COMPONENTES,IC3TYB451390,35300159,400
COMPONENTES,IC3TYN452075,35404413,300
COMPONENTES,ID3TAY451300,35300123,400
COMPONENTES,ID3TBR452045,35404412,300
COMPONENTES,ID3TBR452190,35402176,300
COMPONENTES,ID3TBY451320,35402171,400
COMPONENTES,ID3TBY454300,35300146,200
COMPONENTES,ID3TGA452135,35402177,300
COMPONENTES,ID3TGA452150,35300130,300
COMPONENTES,ID3TGA452605,35403875,300
COMPONENTES,ID3TGW454065,35403876,200
COMPONENTES,ID3TGW454135,35404410,200
COMPONENTES,ID3TGW454480,35404122,200
COMPONENTES,ID3TNG451285,35300158,200
COMPONENTES,ID3TNL451320,35300125,400
COMPONENTES,ID3TNL452135,35300136,1
COMPONENTES,ID3TNL452605,35300144,300
COMPONENTES,ID3TNL454135,35300127,200
COMPONENTES,ID3TOG454065,35300147,200
COMPONENTES,ID3TOG454480,35300145,200
COMPONENTES,ID3TOL454130,35404411,200
COMPONENTES,ID3TOL454300,35403877,200
COMPONENTES,ID3TRB452190,35300135,1
COMPONENTES,ID3TRB454130,35300128,200
COMPONENTES,ID3TWA451285,35404120,400
COMPONENTES,ID3TWN452045,35300129,300
COMPONENTES,IG3TBR452040,35402178,300
COMPONENTES,IG3TGA451900,35402179,400
COMPONENTES,IG3TNL451900,35384530,400
COMPONENTES,IG3TRB352040,IG3TRB352040(HC),300
COMPONENTES,IG3TRB452040,35381929,300
SELLO,JAP11MT201R0,964971-1,10000
SELLO,JAP1228001G0,281934-4,10000
SELLO,JAP12ABS21L0,963243-1,2500
SELLO,JAP12JPT01L0,828904-1,1000
SELLO,JAP12JPT1100,963294-1,1000
SELLO,JAP12MQS01G0,967067-1,20000
SELLO,JAP12MSWD0L0,1-368889-1,1000
SELLO,JAP12MSWD1R0,1-368280-1,2000
SELLO,JAP13ABS01GR,963530-1,20000
SELLO,JAP23MCPE1L0,368932-1,2000
SELLO,JAP24JPT11R0,963293-1,5000
SELLO,JAP25JPT01W0,828905-1,10000
SELLO,JAP35ABS21W0,963244-1,2500
SELLO,JAP45MCPE1W0,368933-1,2000
SELLO,JAP56JPT01GR,368299-1,2000
SELLO,JAP56SEAL1OR,1897826-1,2000
SELLO,JAP66JPT01G0,828985-1,5000
SELLO,JAP66WMCP1L0,1394512-1,10000
SELLO,JAP67ABS21Y0,963245-1,2500
SELLO,JAP77SPT01R0,968043-1,2500
SELLO,JAP78WMCP1G0,1719043-1,2000
SELLO,JDP11DC151GR,3331-8278,5000
SELLO,JDP12520W1L0,1532-7860,10000
SELLO,JDP12MP151L0,1532-4974,12000
SELLO,JDP23DC151LG,3331-8279,5000
SELLO,JDP34150W1G0,1536-6022,20000
SELLO,JDP45520W1R0,1532-7863,1000
SELLO,JDP45AE281LG,3521-5172,500
SELLO,JDP45DC151B0,3331-8275,5000
